name,state_id
odeda,6445a5424c645a56f6c95aa4
odogbolu,6445a5424c645a56f6c95aa4
ogun waterside,6445a5424c645a56f6c95aa4
remo north,6445a5424c645a56f6c95aa4
shagamu,6445a5424c645a56f6c95aa4
akoko north-east,6445a5424c645a56f6c95aa8
akoko north-west,6445a5424c645a56f6c95aa8
akoko south-west,6445a5424c645a56f6c95aa8
akoko south-east,6445a5424c645a56f6c95aa8
akure north,6445a5424c645a56f6c95aa8
akure south,6445a5424c645a56f6c95aa8
ese odo,6445a5424c645a56f6c95aa8
idanre,6445a5424c645a56f6c95aa8
ifedore,6445a5424c645a56f6c95aa8
ilaje,6445a5424c645a56f6c95aa8
ile oluji/okeigbo,6445a5424c645a56f6c95aa8
irele,6445a5424c645a56f6c95aa8
odigbo,6445a5424c645a56f6c95aa8
okitipupa,6445a5424c645a56f6c95aa8
ondo east,6445a5424c645a56f6c95aa8
ondo west,6445a5424c645a56f6c95aa8
ose,6445a5424c645a56f6c95aa8
owo,6445a5424c645a56f6c95aa8
atakunmosa east,6445a5424c645a56f6c95aa6
atakunmosa west,6445a5424c645a56f6c95aa6
aiyedaade,6445a5424c645a56f6c95aa6
aiyedire,6445a5424c645a56f6c95aa6
boluwaduro,6445a5424c645a56f6c95aa6
boripe,6445a5424c645a56f6c95aa6
ede north,6445a5424c645a56f6c95aa6
ede south,6445a5424c645a56f6c95aa6
ife central,6445a5424c645a56f6c95aa6
ife east,6445a5424c645a56f6c95aa6
ife north,6445a5424c645a56f6c95aa6
ife south,6445a5424c645a56f6c95aa6
egbedore,6445a5424c645a56f6c95aa6
ejigbo,6445a5424c645a56f6c95aa6
ifedayo,6445a5424c645a56f6c95aa6
ifelodun,6445a5424c645a56f6c95aa6
ila,6445a5424c645a56f6c95aa6
ilesa east,6445a5424c645a56f6c95aa6
ilesa west,6445a5424c645a56f6c95aa6
irepodun,6445a5424c645a56f6c95aa6
irewole,6445a5424c645a56f6c95aa6
isokan,6445a5424c645a56f6c95aa6
iwo,6445a5424c645a56f6c95aa6
obokun,6445a5424c645a56f6c95aa6
odo otin,6445a5424c645a56f6c95aa6
ola oluwa,6445a5424c645a56f6c95aa6
olorunda,6445a5424c645a56f6c95aa6
oriade,6445a5424c645a56f6c95aa6
orolu,6445a5424c645a56f6c95aa6
osogbo,6445a5424c645a56f6c95aa6
afijio,6445a5424c645a56f6c95aaa
akinyele,6445a5424c645a56f6c95aaa
atiba,6445a5424c645a56f6c95aaa
atisbo,6445a5424c645a56f6c95aaa
egbeda,6445a5424c645a56f6c95aaa
ibadan north,6445a5424c645a56f6c95aaa
ibadan north-east,6445a5424c645a56f6c95aaa
ibadan north-west,6445a5424c645a56f6c95aaa
ibadan south-east,6445a5424c645a56f6c95aaa
ibadan south-west,6445a5424c645a56f6c95aaa
ibarapa central,6445a5424c645a56f6c95aaa
ibarapa east,6445a5424c645a56f6c95aaa
ibarapa north,6445a5424c645a56f6c95aaa
ido,6445a5424c645a56f6c95aaa
irepo,6445a5424c645a56f6c95aaa
iseyin,6445a5424c645a56f6c95aaa
itesiwaju,6445a5424c645a56f6c95aaa
iwajowa,6445a5424c645a56f6c95aaa
kajola,6445a5424c645a56f6c95aaa
lagelu,6445a5424c645a56f6c95aaa
